17869
715
249	64	7		-11.392	-3.070	-3.320	-2.654	
57	78	7		-4.061	0.229	0.987	0.370	
50	115	7		-3.420	0.692	1.449	0.549	
275	213	7		-5.137	-0.304	0.445	-0.163	
35	181	7		-3.595	0.465	1.223	0.600	
282	202	7		-5.806	-0.643	0.114	-0.502	
276	216	7		-5.678	-0.467	0.291	-0.551	
274	226	7		-5.267	-0.270	0.430	-0.279	
282	194	7		-6.660	-1.543	0.160	-0.457	
288	184	7		-3.464	0.524	1.289	0.672	
36	182	8		-2.664	0.928	1.686	1.069	
292	182	8		-5.733	-0.605	0.150	-0.464	
294	191	8		-5.850	-0.659	0.088	-0.519	
282	195	8		-5.807	-0.642	0.113	-0.501	
275	225	8		-5.854	-0.662	0.086	-0.521	
302	233	8		-1.838	1.341	2.099	1.482	
37	180	8		-3.600	0.463	1.216	0.603	
282	197	8		-6.035	-0.738	-0.019	-0.597	
288	172	8		-3.923	0.299	1.056	0.439	
298	151	9		-6.370	-0.700	-0.392	-0.559	
290	169	9		-6.752	-1.006	-0.463	-0.871	
195	206	9		-10.619	-2.261	-3.355	-1.846	
301	149	9		-5.950	-0.513	-0.127	-0.405	
291	169	9		-5.865	-0.670	0.082	-0.529	
304	148	9		-6.114	-0.788	-0.049	-0.648	
290	168	9		-5.826	-0.653	0.105	-0.512	
306	140	9		-5.226	-0.353	0.404	-0.212	
38	70	10		-2.480	1.020	1.778	1.161	
13	102	10		-6.023	-0.528	0.225	-0.830	
5	127	10		-1.783	1.368	2.126	1.509	
300	128	10		-5.364	-0.408	0.321	-0.267	
5	165	10		-6.117	-0.981	-0.101	-0.475	
30	177	10		-3.920	0.300	1.058	0.441	
301	129	10		-6.184	-0.764	-0.143	-0.624	
302	130	10		-6.214	-0.760	-0.176	-0.619	
306	110	11		-5.498	-0.481	0.260	-0.340	
56	139	11		-6.642	-0.701	0.057	-1.281	
14	103	11		-5.268	-0.111	0.643	-0.493	
6	167	11		-4.600	-0.049	0.727	0.110	
30	178	11		-3.187	0.930	1.687	0.544	
314	76	12		-5.438	-0.428	0.318	-0.338	
61	107	12		-1.893	1.313	2.071	1.454	
188	124	12		-3.212	1.403	1.189	1.017	
8	140	12		-5.457	-0.468	0.289	-0.328	
11	172	12		-5.700	-0.561	0.158	-0.440	
299	231	12		-3.631	0.444	1.202	0.585	
299	233	12		-3.835	0.342	1.100	0.483	
14	104	12		-4.954	-0.201	0.556	-0.092	
37	81	13		-4.926	-0.488	1.358	0.222	
58	196	13		-5.750	-0.614	0.141	-0.473	
290	204	13		-3.709	0.405	1.163	0.546	
